first_allele	second_allele	lilrb1_simscore	lilrb2_simscore
HLA-A01:01	HLA-A02:01	0.58	0.94
HLA-A01:01	HLA-A02:03	0.68	0.81
HLA-A01:01	HLA-A02:06	0.87	0.97
HLA-A01:01	HLA-A03:01	0.92	0.96
HLA-A01:01	HLA-A11:01	0.8	0.92
HLA-A01:01	HLA-A11:02	0.55	0.72
HLA-A01:01	HLA-A23:01	0.97	0.96
HLA-A01:01	HLA-A24:02	0.88	1
HLA-A01:01	HLA-A24:03	0.92	0.52
HLA-A01:01	HLA-A25:01	0.58	0.99
HLA-A01:01	HLA-A26:01	0.58	0.87
HLA-A01:01	HLA-A29:01	0.7	0.99
HLA-A01:01	HLA-A29:02	0.62	0.98
HLA-A01:01	HLA-A30:01	0.67	0.78
HLA-A01:01	HLA-A30:02	0.75	0.83
HLA-A01:01	HLA-A31:01	0.8	0.92
HLA-A01:01	HLA-A32:01	0.57	0.97
HLA-A01:01	HLA-A33:01	0.52	0.97
HLA-A01:01	HLA-A33:03	0.6	0.88
HLA-A01:01	HLA-A34:01	0.63	0.98
HLA-A01:01	HLA-A34:02	0.83	0.94
HLA-A01:01	HLA-A36:01	0.73	0.83
HLA-A01:01	HLA-A43:01	0.52	0.82
HLA-A01:01	HLA-A66:01	0.83	0.78
HLA-A01:01	HLA-A66:02	0.73	0.98
HLA-A01:01	HLA-A68:01	0.62	0.87
HLA-A01:01	HLA-A68:02	0.58	0.87
HLA-A01:01	HLA-A69:01	0.7	0.89
HLA-A01:01	HLA-A74:01	0.47	0.98
HLA-A01:01	HLA-A74:02	0.47	0.98
HLA-A01:01	HLA-A80:01	0.6	0.99
HLA-A01:01	HLA-B07:02	0.77	0.99
HLA-A01:01	HLA-B08:01	0.97	0.98
HLA-A01:01	HLA-B13:01	0.6	0.94
HLA-A01:01	HLA-B13:02	0.7	0.81
HLA-A01:01	HLA-B14:01	0.85	0.83
HLA-A01:01	HLA-B14:02	0.75	0.62
HLA-A01:01	HLA-B15:01	0.92	0.88
HLA-A01:01	HLA-B15:02	0.98	0.71
HLA-A01:01	HLA-B15:03	0.98	0.93
HLA-A01:01	HLA-B15:10	0.77	0.61
HLA-A01:01	HLA-B15:11	0.85	0.91
HLA-A01:01	HLA-B15:12	0.95	0.81
HLA-A01:01	HLA-B15:13	0.72	0.8
HLA-A01:01	HLA-B15:16	0.85	0.73
HLA-A01:01	HLA-B18:01	0.93	0.88
HLA-A01:01	HLA-B27:05	0.85	0.54
HLA-A01:01	HLA-B27:08	0.78	0.72
HLA-A01:01	HLA-B35:01	1	0.84
HLA-A01:01	HLA-B38:01	0.9	0.82
HLA-A01:01	HLA-B39:01	0.98	0.74
HLA-A01:01	HLA-B40:01	0.7	0.83
HLA-A01:01	HLA-B40:02	0.78	0.75
HLA-A01:01	HLA-B40:06	0.8	0.96
HLA-A01:01	HLA-B41:01	0.95	0.82
HLA-A01:01	HLA-B42:01	0.9	0.81
HLA-A01:01	HLA-B44:02	0.72	0.79
HLA-A01:01	HLA-B44:03	0.72	0.56
HLA-A01:01	HLA-B45:01	0.85	0.99
HLA-A01:01	HLA-B46:01	0.92	0.98
HLA-A01:01	HLA-B48:01	0.63	0.97
HLA-A01:01	HLA-B49:01	0.5	0.65
HLA-A01:01	HLA-B50:01	0.83	0.74
HLA-A01:01	HLA-B51:01	0.7	0.9
HLA-A01:01	HLA-B51:02	0.78	0.75
HLA-A01:01	HLA-B52:01	0.57	0.99
HLA-A01:01	HLA-B53:01	1	0.91
HLA-A01:01	HLA-B54:01	0.82	0.67
HLA-A01:01	HLA-B55:01	0.75	0.97
HLA-A01:01	HLA-B56:01	0.82	0.69
HLA-A01:01	HLA-B57:01	0.52	0.48
HLA-A01:01	HLA-B57:03	0.83	0.66
HLA-A01:01	HLA-B58:01	0.45	0.52
HLA-A01:01	HLA-B59:01	0.7	0.8
HLA-A01:01	HLA-B67:01	0.82	0.84
HLA-A01:01	HLA-B73:01	0.95	0.98
HLA-A01:01	HLA-B78:01	0.97	0.81
HLA-A01:01	HLA-B81:01	0.93	0.94
HLA-A01:01	HLA-B82:01	1	0.84
HLA-A01:01	HLA-C01:02	0.47	0.82
HLA-A01:01	HLA-C02:02	0.72	0.99
HLA-A01:01	HLA-C03:02	0.62	0.71
HLA-A01:01	HLA-C03:03	0.73	0.72
HLA-A01:01	HLA-C03:04	0.95	0.8
HLA-A01:01	HLA-C04:01	0.47	0.58
HLA-A01:01	HLA-C05:01	0.8	0.93
HLA-A01:01	HLA-C06:02	0.92	0.76
HLA-A01:01	HLA-C07:02	0.65	0.92
HLA-A01:01	HLA-C08:01	0.77	0.79
HLA-A01:01	HLA-C12:03	0.75	0.99
HLA-A01:01	HLA-C14:02	0.67	0.94
HLA-A01:01	HLA-C15:02	1	0.89
HLA-A01:01	HLA-C16:01	0.63	0.94
HLA-A01:01	HLA-C17:01	0.53	0.69
HLA-A01:01	HLA-C18:02	0.88	0.93
HLA-A02:01	HLA-A02:03	0.9	0.75
HLA-A02:01	HLA-A02:06	0.72	0.91
HLA-A02:01	HLA-A03:01	0.5	0.9
HLA-A02:01	HLA-A11:01	0.38	0.87
HLA-A02:01	HLA-A11:02	0.13	0.78
HLA-A02:01	HLA-A23:01	0.55	0.9
HLA-A02:01	HLA-A24:02	0.47	0.94
HLA-A02:01	HLA-A24:03	0.5	0.57
HLA-A02:01	HLA-A25:01	1	0.96
HLA-A02:01	HLA-A26:01	1	0.92
HLA-A02:01	HLA-A29:01	0.88	0.96
HLA-A02:01	HLA-A29:02	0.97	0.92
HLA-A02:01	HLA-A30:01	0.25	0.83
HLA-A02:01	HLA-A30:02	0.83	0.78
HLA-A02:01	HLA-A31:01	0.78	0.87
HLA-A02:01	HLA-A32:01	0.98	0.98
HLA-A02:01	HLA-A33:01	0.93	0.98
HLA-A02:01	HLA-A33:03	0.98	0.93
HLA-A02:01	HLA-A34:01	0.95	0.97
HLA-A02:01	HLA-A34:02	0.75	0.89
HLA-A02:01	HLA-A36:01	0.85	0.78
HLA-A02:01	HLA-A43:01	0.93	0.76
HLA-A02:01	HLA-A66:01	0.75	0.83
HLA-A02:01	HLA-A66:02	0.85	0.92
HLA-A02:01	HLA-A68:01	0.97	0.81
HLA-A02:01	HLA-A68:02	1	0.81
HLA-A02:01	HLA-A69:01	0.88	0.94
HLA-A02:01	HLA-A74:01	0.88	0.92
HLA-A02:01	HLA-A74:02	0.88	0.92
HLA-A02:01	HLA-A80:01	0.98	0.96
HLA-A02:01	HLA-B07:02	0.82	0.96
HLA-A02:01	HLA-B08:01	0.55	0.97
HLA-A02:01	HLA-B13:01	0.98	0.89
HLA-A02:01	HLA-B13:02	0.88	0.75
HLA-A02:01	HLA-B14:01	0.73	0.78
HLA-A02:01	HLA-B14:02	0.83	0.56
HLA-A02:01	HLA-B15:01	0.67	0.82
HLA-A02:01	HLA-B15:02	0.57	0.65
HLA-A02:01	HLA-B15:03	0.6	0.88
HLA-A02:01	HLA-B15:10	0.82	0.55
HLA-A02:01	HLA-B15:11	0.73	0.85
HLA-A02:01	HLA-B15:12	0.53	0.75
HLA-A02:01	HLA-B15:13	0.87	0.74
HLA-A02:01	HLA-B15:16	0.73	0.67
HLA-A02:01	HLA-B18:01	0.52	0.93
HLA-A02:01	HLA-B27:05	0.73	0.48
HLA-A02:01	HLA-B27:08	0.37	0.66
HLA-A02:01	HLA-B35:01	0.58	0.79
HLA-A02:01	HLA-B38:01	0.68	0.76
HLA-A02:01	HLA-B39:01	0.6	0.69
HLA-A02:01	HLA-B40:01	0.88	0.78
HLA-A02:01	HLA-B40:02	0.8	0.7
HLA-A02:01	HLA-B40:06	0.78	0.9
HLA-A02:01	HLA-B41:01	0.53	0.76
HLA-A02:01	HLA-B42:01	0.48	0.75
HLA-A02:01	HLA-B44:02	0.87	0.73
HLA-A02:01	HLA-B44:03	0.87	0.51
HLA-A02:01	HLA-B45:01	0.43	0.93
HLA-A02:01	HLA-B46:01	0.67	0.97
HLA-A02:01	HLA-B48:01	0.95	0.91
HLA-A02:01	HLA-B49:01	0.92	0.6
HLA-A02:01	HLA-B50:01	0.75	0.69
HLA-A02:01	HLA-B51:01	0.88	0.84
HLA-A02:01	HLA-B51:02	0.8	0.7
HLA-A02:01	HLA-B52:01	0.98	0.93
HLA-A02:01	HLA-B53:01	0.58	0.85
HLA-A02:01	HLA-B54:01	0.77	0.62
HLA-A02:01	HLA-B55:01	0.83	0.91
HLA-A02:01	HLA-B56:01	0.77	0.63
HLA-A02:01	HLA-B57:01	0.93	0.43
HLA-A02:01	HLA-B57:03	0.75	0.61
HLA-A02:01	HLA-B58:01	0.87	0.46
HLA-A02:01	HLA-B59:01	0.88	0.74
HLA-A02:01	HLA-B67:01	0.4	0.79
HLA-A02:01	HLA-B73:01	0.63	0.92
HLA-A02:01	HLA-B78:01	0.62	0.87
HLA-A02:01	HLA-B81:01	0.65	0.89
HLA-A02:01	HLA-B82:01	0.58	0.79
HLA-A02:01	HLA-C01:02	0.88	0.76
HLA-A02:01	HLA-C02:02	0.87	0.93
HLA-A02:01	HLA-C03:02	0.97	0.65
HLA-A02:01	HLA-C03:03	0.85	0.66
HLA-A02:01	HLA-C03:04	0.53	0.74
HLA-A02:01	HLA-C04:01	0.88	0.53
HLA-A02:01	HLA-C05:01	0.78	0.88
HLA-A02:01	HLA-C06:02	0.67	0.82
HLA-A02:01	HLA-C07:02	0.93	0.98
HLA-A02:01	HLA-C08:01	0.82	0.73
HLA-A02:01	HLA-C12:03	0.83	0.93
HLA-A02:01	HLA-C14:02	0.92	0.89
HLA-A02:01	HLA-C15:02	0.58	0.83
HLA-A02:01	HLA-C16:01	0.95	0.89
HLA-A02:01	HLA-C17:01	0.95	0.63
HLA-A02:01	HLA-C18:02	0.7	0.99
HLA-A02:03	HLA-A02:06	0.82	0.84
HLA-A02:03	HLA-A03:01	0.6	0.85
HLA-A02:03	HLA-A11:01	0.48	0.89
HLA-A02:03	HLA-A11:02	0.23	0.53
HLA-A02:03	HLA-A23:01	0.65	0.85
HLA-A02:03	HLA-A24:02	0.57	0.81
HLA-A02:03	HLA-A24:03	0.6	0.33
HLA-A02:03	HLA-A25:01	0.9	0.8
HLA-A02:03	HLA-A26:01	0.9	0.67
HLA-A02:03	HLA-A29:01	0.98	0.8
HLA-A02:03	HLA-A29:02	0.93	0.83
HLA-A02:03	HLA-A30:01	0.35	0.58
HLA-A02:03	HLA-A30:02	0.93	0.98
HLA-A02:03	HLA-A31:01	0.88	0.89
HLA-A02:03	HLA-A32:01	0.88	0.78
HLA-A02:03	HLA-A33:01	0.83	0.78
HLA-A02:03	HLA-A33:03	0.92	0.69
HLA-A02:03	HLA-A34:01	0.95	0.79
HLA-A02:03	HLA-A34:02	0.85	0.87
HLA-A02:03	HLA-A36:01	0.95	0.98
HLA-A02:03	HLA-A43:01	0.83	0.99
HLA-A02:03	HLA-A66:01	0.85	0.58
HLA-A02:03	HLA-A66:02	0.95	0.83
HLA-A02:03	HLA-A68:01	0.93	0.94
HLA-A02:03	HLA-A68:02	0.9	0.94
HLA-A02:03	HLA-A69:01	0.98	0.7
HLA-A02:03	HLA-A74:01	0.78	0.83
HLA-A02:03	HLA-A74:02	0.78	0.83
HLA-A02:03	HLA-A80:01	0.92	0.8
HLA-A02:03	HLA-B07:02	0.92	0.8
HLA-A02:03	HLA-B08:01	0.65	0.79
HLA-A02:03	HLA-B13:01	0.92	0.87
HLA-A02:03	HLA-B13:02	0.98	1
HLA-A02:03	HLA-B14:01	0.83	0.98
HLA-A02:03	HLA-B14:02	0.93	0.81
HLA-A02:03	HLA-B15:01	0.77	0.93
HLA-A02:03	HLA-B15:02	0.67	0.9
HLA-A02:03	HLA-B15:03	0.7	0.88
HLA-A02:03	HLA-B15:10	0.92	0.8
HLA-A02:03	HLA-B15:11	0.83	0.9
HLA-A02:03	HLA-B15:12	0.63	1
HLA-A02:03	HLA-B15:13	0.97	0.99
HLA-A02:03	HLA-B15:16	0.83	0.92
HLA-A02:03	HLA-B18:01	0.62	0.69
HLA-A02:03	HLA-B27:05	0.83	0.73
HLA-A02:03	HLA-B27:08	0.47	0.91
HLA-A02:03	HLA-B35:01	0.68	0.97
HLA-A02:03	HLA-B38:01	0.78	0.99
HLA-A02:03	HLA-B39:01	0.7	0.93
HLA-A02:03	HLA-B40:01	0.98	0.98
HLA-A02:03	HLA-B40:02	0.9	0.94
HLA-A02:03	HLA-B40:06	0.88	0.85
HLA-A02:03	HLA-B41:01	0.63	0.99
HLA-A02:03	HLA-B42:01	0.58	1
HLA-A02:03	HLA-B44:02	0.97	0.98
HLA-A02:03	HLA-B44:03	0.97	0.75
HLA-A02:03	HLA-B45:01	0.53	0.82
HLA-A02:03	HLA-B46:01	0.77	0.79
HLA-A02:03	HLA-B48:01	0.95	0.84
HLA-A02:03	HLA-B49:01	0.82	0.84
HLA-A02:03	HLA-B50:01	0.85	0.93
HLA-A02:03	HLA-B51:01	0.98	0.91
HLA-A02:03	HLA-B51:02	0.9	0.94
HLA-A02:03	HLA-B52:01	0.88	0.82
HLA-A02:03	HLA-B53:01	0.68	0.9
HLA-A02:03	HLA-B54:01	0.87	0.87
HLA-A02:03	HLA-B55:01	0.93	0.84
HLA-A02:03	HLA-B56:01	0.87	0.88
HLA-A02:03	HLA-B57:01	0.83	0.67
HLA-A02:03	HLA-B57:03	0.85	0.85
HLA-A02:03	HLA-B58:01	0.77	0.71
HLA-A02:03	HLA-B59:01	0.98	0.99
HLA-A02:03	HLA-B67:01	0.5	0.97
HLA-A02:03	HLA-B73:01	0.73	0.83
HLA-A02:03	HLA-B78:01	0.72	0.62
HLA-A02:03	HLA-B81:01	0.75	0.87
HLA-A02:03	HLA-B82:01	0.68	0.97
HLA-A02:03	HLA-C01:02	0.78	0.99
HLA-A02:03	HLA-C02:02	0.97	0.82
HLA-A02:03	HLA-C03:02	0.93	0.9
HLA-A02:03	HLA-C03:03	0.95	0.91
HLA-A02:03	HLA-C03:04	0.63	0.99
HLA-A02:03	HLA-C04:01	0.78	0.78
HLA-A02:03	HLA-C05:01	0.88	0.88
HLA-A02:03	HLA-C06:02	0.77	0.57
HLA-A02:03	HLA-C07:02	0.97	0.73
HLA-A02:03	HLA-C08:01	0.92	0.98
HLA-A02:03	HLA-C12:03	0.93	0.82
HLA-A02:03	HLA-C14:02	0.98	0.87
HLA-A02:03	HLA-C15:02	0.68	0.92
HLA-A02:03	HLA-C16:01	0.95	0.87
HLA-A02:03	HLA-C17:01	0.85	0.88
HLA-A02:03	HLA-C18:02	0.8	0.74
HLA-A02:06	HLA-A03:01	0.78	0.99
HLA-A02:06	HLA-A11:01	0.67	0.96
HLA-A02:06	HLA-A11:02	0.42	0.69
HLA-A02:06	HLA-A23:01	0.83	0.99
HLA-A02:06	HLA-A24:02	0.75	0.97
HLA-A02:06	HLA-A24:03	0.78	0.48
HLA-A02:06	HLA-A25:01	0.72	0.96
HLA-A02:06	HLA-A26:01	0.72	0.83
HLA-A02:06	HLA-A29:01	0.83	0.96
HLA-A02:06	HLA-A29:02	0.75	0.99
HLA-A02:06	HLA-A30:01	0.53	0.74
HLA-A02:06	HLA-A30:02	0.88	0.87
HLA-A02:06	HLA-A31:01	0.93	0.96
HLA-A02:06	HLA-A32:01	0.7	0.93
HLA-A02:06	HLA-A33:01	0.65	0.93
HLA-A02:06	HLA-A33:03	0.73	0.84
HLA-A02:06	HLA-A34:01	0.77	0.94
HLA-A02:06	HLA-A34:02	0.97	0.98
HLA-A02:06	HLA-A36:01	0.87	0.87
HLA-A02:06	HLA-A43:01	0.65	0.85
HLA-A02:06	HLA-A66:01	0.97	0.74
HLA-A02:06	HLA-A66:02	0.87	0.99
HLA-A02:06	HLA-A68:01	0.75	0.9
HLA-A02:06	HLA-A68:02	0.72	0.9
HLA-A02:06	HLA-A69:01	0.83	0.85
HLA-A02:06	HLA-A74:01	0.6	0.99
HLA-A02:06	HLA-A74:02	0.6	0.99
HLA-A02:06	HLA-A80:01	0.73	0.96
HLA-A02:06	HLA-B07:02	0.9	0.96
HLA-A02:06	HLA-B08:01	0.83	0.94
HLA-A02:06	HLA-B13:01	0.73	0.98
HLA-A02:06	HLA-B13:02	0.83	0.84
HLA-A02:06	HLA-B14:01	0.98	0.87
HLA-A02:06	HLA-B14:02	0.88	0.65
HLA-A02:06	HLA-B15:01	0.95	0.91
HLA-A02:06	HLA-B15:02	0.85	0.74
HLA-A02:06	HLA-B15:03	0.88	0.97
HLA-A02:06	HLA-B15:10	0.9	0.64
HLA-A02:06	HLA-B15:11	0.98	0.94
HLA-A02:06	HLA-B15:12	0.82	0.84
HLA-A02:06	HLA-B15:13	0.85	0.83
HLA-A02:06	HLA-B15:16	0.98	0.76
HLA-A02:06	HLA-B18:01	0.8	0.84
HLA-A02:06	HLA-B27:05	0.98	0.57
HLA-A02:06	HLA-B27:08	0.65	0.75
HLA-A02:06	HLA-B35:01	0.87	0.88
HLA-A02:06	HLA-B38:01	0.97	0.85
HLA-A02:06	HLA-B39:01	0.88	0.78
HLA-A02:06	HLA-B40:01	0.83	0.87
HLA-A02:06	HLA-B40:02	0.92	0.79
HLA-A02:06	HLA-B40:06	0.93	0.99
HLA-A02:06	HLA-B41:01	0.82	0.85
HLA-A02:06	HLA-B42:01	0.77	0.84
HLA-A02:06	HLA-B44:02	0.85	0.82
HLA-A02:06	HLA-B44:03	0.85	0.6
HLA-A02:06	HLA-B45:01	0.72	0.98
HLA-A02:06	HLA-B46:01	0.95	0.94
HLA-A02:06	HLA-B48:01	0.77	1
HLA-A02:06	HLA-B49:01	0.63	0.69
HLA-A02:06	HLA-B50:01	0.97	0.78
HLA-A02:06	HLA-B51:01	0.83	0.93
HLA-A02:06	HLA-B51:02	0.92	0.79
HLA-A02:06	HLA-B52:01	0.7	0.98
HLA-A02:06	HLA-B53:01	0.87	0.94
HLA-A02:06	HLA-B54:01	0.95	0.71
HLA-A02:06	HLA-B55:01	0.88	1
HLA-A02:06	HLA-B56:01	0.95	0.72
HLA-A02:06	HLA-B57:01	0.65	0.52
HLA-A02:06	HLA-B57:03	0.97	0.7
HLA-A02:06	HLA-B58:01	0.58	0.55
HLA-A02:06	HLA-B59:01	0.83	0.83
HLA-A02:06	HLA-B67:01	0.68	0.88
HLA-A02:06	HLA-B73:01	0.92	0.99
HLA-A02:06	HLA-B78:01	0.9	0.78
HLA-A02:06	HLA-B81:01	0.93	0.98
HLA-A02:06	HLA-B82:01	0.87	0.88
HLA-A02:06	HLA-C01:02	0.6	0.85
HLA-A02:06	HLA-C02:02	0.85	0.98
HLA-A02:06	HLA-C03:02	0.75	0.74
HLA-A02:06	HLA-C03:03	0.87	0.75
HLA-A02:06	HLA-C03:04	0.82	0.83
HLA-A02:06	HLA-C04:01	0.6	0.62
HLA-A02:06	HLA-C05:01	0.93	0.97
HLA-A02:06	HLA-C06:02	0.95	0.73
HLA-A02:06	HLA-C07:02	0.78	0.89
HLA-A02:06	HLA-C08:01	0.9	0.82
HLA-A02:06	HLA-C12:03	0.88	0.98
HLA-A02:06	HLA-C14:02	0.8	0.98
HLA-A02:06	HLA-C15:02	0.87	0.92
HLA-A02:06	HLA-C16:01	0.77	0.98
HLA-A02:06	HLA-C17:01	0.67	0.72
HLA-A02:06	HLA-C18:02	0.98	0.9
HLA-A03:01	HLA-A11:01	0.88	0.97
HLA-A03:01	HLA-A11:02	0.63	0.67
HLA-A03:01	HLA-A23:01	0.95	1
HLA-A03:01	HLA-A24:02	0.97	0.96
HLA-A03:01	HLA-A24:03	1	0.47
HLA-A03:01	HLA-A25:01	0.5	0.94
HLA-A03:01	HLA-A26:01	0.5	0.82
HLA-A03:01	HLA-A29:01	0.62	0.94
HLA-A03:01	HLA-A29:02	0.53	0.98
HLA-A03:01	HLA-A30:01	0.75	0.73
HLA-A03:01	HLA-A30:02	0.67	0.88
HLA-A03:01	HLA-A31:01	0.72	0.97
HLA-A03:01	HLA-A32:01	0.48	0.92
HLA-A03:01	HLA-A33:01	0.43	0.92
HLA-A03:01	HLA-A33:03	0.52	0.83
HLA-A03:01	HLA-A34:01	0.55	0.93
HLA-A03:01	HLA-A34:02	0.75	0.99
HLA-A03:01	HLA-A36:01	0.65	0.88
HLA-A03:01	HLA-A43:01	0.43	0.87
HLA-A03:01	HLA-A66:01	0.75	0.73
HLA-A03:01	HLA-A66:02	0.65	0.98
HLA-A03:01	HLA-A68:01	0.53	0.91
HLA-A03:01	HLA-A68:02	0.5	0.91
HLA-A03:01	HLA-A69:01	0.62	0.84
HLA-A03:01	HLA-A74:01	0.38	0.98
HLA-A03:01	HLA-A74:02	0.38	0.98
HLA-A03:01	HLA-A80:01	0.52	0.94
HLA-A03:01	HLA-B07:02	0.68	0.94
HLA-A03:01	HLA-B08:01	0.95	0.93
HLA-A03:01	HLA-B13:01	0.52	0.99
HLA-A03:01	HLA-B13:02	0.62	0.85
HLA-A03:01	HLA-B14:01	0.77	0.88
HLA-A03:01	HLA-B14:02	0.67	0.66
HLA-A03:01	HLA-B15:01	0.83	0.92
HLA-A03:01	HLA-B15:02	0.93	0.75
HLA-A03:01	HLA-B15:03	0.9	0.98
HLA-A03:01	HLA-B15:10	0.68	0.65
HLA-A03:01	HLA-B15:11	0.77	0.96
HLA-A03:01	HLA-B15:12	0.97	0.85
HLA-A03:01	HLA-B15:13	0.63	0.84
HLA-A03:01	HLA-B15:16	0.77	0.78
HLA-A03:01	HLA-B18:01	0.98	0.83
HLA-A03:01	HLA-B27:05	0.77	0.58
HLA-A03:01	HLA-B27:08	0.87	0.76
HLA-A03:01	HLA-B35:01	0.92	0.89
HLA-A03:01	HLA-B38:01	0.82	0.87
HLA-A03:01	HLA-B39:01	0.9	0.79
HLA-A03:01	HLA-B40:01	0.62	0.88
HLA-A03:01	HLA-B40:02	0.7	0.8
HLA-A03:01	HLA-B40:06	0.72	1
HLA-A03:01	HLA-B41:01	0.97	0.87
HLA-A03:01	HLA-B42:01	0.98	0.85
HLA-A03:01	HLA-B44:02	0.63	0.83
HLA-A03:01	HLA-B44:03	0.63	0.61
HLA-A03:01	HLA-B45:01	0.93	0.97
HLA-A03:01	HLA-B46:01	0.83	0.93
HLA-A03:01	HLA-B48:01	0.55	0.99
HLA-A03:01	HLA-B49:01	0.42	0.7
HLA-A03:01	HLA-B50:01	0.75	0.79
HLA-A03:01	HLA-B51:01	0.62	0.94
HLA-A03:01	HLA-B51:02	0.7	0.8
HLA-A03:01	HLA-B52:01	0.48	0.97
HLA-A03:01	HLA-B53:01	0.92	0.96
HLA-A03:01	HLA-B54:01	0.73	0.72
HLA-A03:01	HLA-B55:01	0.67	0.99
HLA-A03:01	HLA-B56:01	0.73	0.73
HLA-A03:01	HLA-B57:01	0.43	0.53
HLA-A03:01	HLA-B57:03	0.75	0.71
HLA-A03:01	HLA-B58:01	0.37	0.56
HLA-A03:01	HLA-B59:01	0.62	0.84
HLA-A03:01	HLA-B67:01	0.9	0.89
HLA-A03:01	HLA-B73:01	0.87	0.98
HLA-A03:01	HLA-B78:01	0.88	0.76
HLA-A03:01	HLA-B81:01	0.85	0.99
HLA-A03:01	HLA-B82:01	0.92	0.89
HLA-A03:01	HLA-C01:02	0.38	0.87
HLA-A03:01	HLA-C02:02	0.63	0.97
HLA-A03:01	HLA-C03:02	0.53	0.75
HLA-A03:01	HLA-C03:03	0.65	0.76
HLA-A03:01	HLA-C03:04	0.97	0.84
HLA-A03:01	HLA-C04:01	0.38	0.63
HLA-A03:01	HLA-C05:01	0.72	0.98
HLA-A03:01	HLA-C06:02	0.83	0.72
HLA-A03:01	HLA-C07:02	0.57	0.88
HLA-A03:01	HLA-C08:01	0.68	0.83
HLA-A03:01	HLA-C12:03	0.67	0.97
HLA-A03:01	HLA-C14:02	0.58	0.99
HLA-A03:01	HLA-C15:02	0.92	0.93
HLA-A03:01	HLA-C16:01	0.55	0.99
HLA-A03:01	HLA-C17:01	0.45	0.73
HLA-A03:01	HLA-C18:02	0.8	0.89
HLA-A11:01	HLA-A11:02	0.75	0.64
HLA-A11:01	HLA-A23:01	0.83	0.97
HLA-A11:01	HLA-A24:02	0.92	0.92
HLA-A11:01	HLA-A24:03	0.88	0.44
HLA-A11:01	HLA-A25:01	0.38	0.91
HLA-A11:01	HLA-A26:01	0.38	0.79
HLA-A11:01	HLA-A29:01	0.5	0.91
HLA-A11:01	HLA-A29:02	0.42	0.94
HLA-A11:01	HLA-A30:01	0.87	0.7
HLA-A11:01	HLA-A30:02	0.55	0.91
HLA-A11:01	HLA-A31:01	0.6	1
HLA-A11:01	HLA-A32:01	0.37	0.89
HLA-A11:01	HLA-A33:01	0.32	0.89
HLA-A11:01	HLA-A33:03	0.4	0.8
HLA-A11:01	HLA-A34:01	0.43	0.9
HLA-A11:01	HLA-A34:02	0.63	0.98
HLA-A11:01	HLA-A36:01	0.53	0.91
HLA-A11:01	HLA-A43:01	0.32	0.9
HLA-A11:01	HLA-A66:01	0.63	0.7
HLA-A11:01	HLA-A66:02	0.53	0.94
HLA-A11:01	HLA-A68:01	0.42	0.94
HLA-A11:01	HLA-A68:02	0.38	0.94
HLA-A11:01	HLA-A69:01	0.5	0.81
HLA-A11:01	HLA-A74:01	0.27	0.94
HLA-A11:01	HLA-A74:02	0.27	0.94
HLA-A11:01	HLA-A80:01	0.4	0.91
HLA-A11:01	HLA-B07:02	0.57	0.91
HLA-A11:01	HLA-B08:01	0.83	0.9
HLA-A11:01	HLA-B13:01	0.4	0.98
HLA-A11:01	HLA-B13:02	0.5	0.89
HLA-A11:01	HLA-B14:01	0.65	0.91
HLA-A11:01	HLA-B14:02	0.55	0.7
HLA-A11:01	HLA-B15:01	0.72	0.96
HLA-A11:01	HLA-B15:02	0.82	0.79
HLA-A11:01	HLA-B15:03	0.78	0.99
HLA-A11:01	HLA-B15:10	0.57	0.69
HLA-A11:01	HLA-B15:11	0.65	0.99
HLA-A11:01	HLA-B15:12	0.85	0.89
HLA-A11:01	HLA-B15:13	0.52	0.88
HLA-A11:01	HLA-B15:16	0.65	0.81
HLA-A11:01	HLA-B18:01	0.87	0.8
HLA-A11:01	HLA-B27:05	0.65	0.62
HLA-A11:01	HLA-B27:08	0.98	0.8
HLA-A11:01	HLA-B35:01	0.8	0.92
HLA-A11:01	HLA-B38:01	0.7	0.9
HLA-A11:01	HLA-B39:01	0.78	0.82
HLA-A11:01	HLA-B40:01	0.5	0.91
HLA-A11:01	HLA-B40:02	0.58	0.83
HLA-A11:01	HLA-B40:06	0.6	0.97
HLA-A11:01	HLA-B41:01	0.85	0.9
HLA-A11:01	HLA-B42:01	0.9	0.89
HLA-A11:01	HLA-B44:02	0.52	0.87
HLA-A11:01	HLA-B44:03	0.52	0.64
HLA-A11:01	HLA-B45:01	0.95	0.93
HLA-A11:01	HLA-B46:01	0.72	0.9
HLA-A11:01	HLA-B48:01	0.43	0.96
HLA-A11:01	HLA-B49:01	0.3	0.73
HLA-A11:01	HLA-B50:01	0.63	0.82
HLA-A11:01	HLA-B51:01	0.5	0.98
HLA-A11:01	HLA-B51:02	0.58	0.83
HLA-A11:01	HLA-B52:01	0.37	0.93
HLA-A11:01	HLA-B53:01	0.8	0.99
HLA-A11:01	HLA-B54:01	0.62	0.75
HLA-A11:01	HLA-B55:01	0.55	0.96
HLA-A11:01	HLA-B56:01	0.62	0.76
HLA-A11:01	HLA-B57:01	0.32	0.56
HLA-A11:01	HLA-B57:03	0.63	0.74
HLA-A11:01	HLA-B58:01	0.25	0.6
HLA-A11:01	HLA-B59:01	0.5	0.88
HLA-A11:01	HLA-B67:01	0.98	0.92
HLA-A11:01	HLA-B73:01	0.75	0.94
HLA-A11:01	HLA-B78:01	0.77	0.73
HLA-A11:01	HLA-B81:01	0.73	0.98
